handle,title,style,material,face_shapes,use_cases,vibes,lens_types,tags
vintage-noir-1990s-safilo-sunglasses,"""Vintage Noir"" 1990s Safilo Sunglasses",rectangle,acetate,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","retro, luxury, modern",polarized,"style:rectangle, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:polarized"
golden-tortoise-1990s-safilo-sunglasses,"""Golden Tortoise"" 1990s Safilo Sunglasses",oval,wire,,,"retro, luxury, modern","tinted, custom","style:oval, material:wire, vibe:retro, vibe:luxury, vibe:modern, lens:tinted, lens:custom"
antique-metal-1990s-parade-sunglasses,"""Antique Metal"" 1990s Parade Sunglasses",oval,wire,,,"retro, luxury, modern","tinted, custom","style:oval, material:wire, vibe:retro, vibe:luxury, vibe:modern, lens:tinted, lens:custom"
slither-1990s-jean-paul-gaultier-sunglasses,"""Slither"" 1990s Jean-Paul Gaultier Sunglasses",round,acetate,"heart, square, diamond","night, casual, at_desk","retro, luxury, modern","tinted, shield","style:round, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:tinted, lens:shield"
classic-tortoise-1990s-luxottica-sunglasses,"""Classic Tortoise"" 1990s Luxottica Sunglasses",oval,acetate,,,"retro, luxury, modern","tinted, custom","style:oval, material:acetate, vibe:retro, vibe:luxury, vibe:modern, lens:tinted, lens:custom"
classic-armani-1990s-giorgio-armani-sunglasses,"""Classic Armani"" 1990s Giorgio Armani Sunglasses",rectangle,acetate,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","retro, luxury, modern",,"style:rectangle, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk"
elegant-arden-1990s-elizabeth-arden-sunglasses,"""Elegant Arden"" 1990s Elizabeth Arden Sunglasses",oval,acetate,,,"retro, luxury, modern","tinted, custom","style:oval, material:acetate, vibe:retro, vibe:luxury, vibe:modern, lens:tinted, lens:custom"
timeless-tortoise-1990s-calvin-klein-eyeglasses,"""Timeless Tortoise"" 1990s Calvin Klein Eyeglass Frames",,acetate,,,"retro, luxury, modern","rx, custom","material:acetate, vibe:retro, vibe:luxury, vibe:modern, lens:rx, lens:custom"
urban-alloy-1990s-attitudes-for-eyes-sunglasses,"""Urban Alloy"" 1990s Attitudes for Eyes Sunglasses",square,wire,"oval, round","night, going_out, casual, at_desk","retro, luxury, modern",,"style:square, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk"
bold-fade-1990s-attitudes-for-eyes-sunglasses,"""Bold Fade"" 1990s Attitudes for Eyes Sunglasses",round,wire,"heart, square, diamond","night, casual, at_desk","retro, luxury, modern",,"style:round, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk"
smoked-alloy-1980s-wired-sunglasses,"""Smoked Alloy"" 1980s Wired Sunglasses",rectangle,wire,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","retro, luxury, modern",tinted,"style:rectangle, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:tinted"
metal-edge-1980s-wired-sunglasses,"""Metal Edge"" 1980s Wired Sunglasses",oval,wire,,,"retro, luxury, modern",custom,"style:oval, material:wire, vibe:retro, vibe:luxury, vibe:modern, lens:custom"
vintage-charm-1980s-taxi-eyeglasses,"""Vintage Charm"" 1980s Taxi Eyeglasses",rectangle,wire,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","retro, luxury, modern","rx, custom","style:rectangle, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:rx, lens:custom"
retro-cool-1980s-stetson-sunglasses,"""Retro Cool"" 1980s Stetson Sunglasses",aviator,wire,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, modern",custom,"style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:custom"
bold-statement-1980s-sterling-optical-eyeglasses,"""Bold Statement"" 1980s Sterling Optical Eyeglasses",,acetate,,,"retro, luxury, modern","rx, custom, butterfly","material:acetate, vibe:retro, vibe:luxury, vibe:modern, lens:rx, lens:custom, lens:butterfly"
precision-elegance-1980s-marchon-eyeglasses,"""Precision Elegance"" 1980s Marchon Eyeglasses",square,wire,"oval, round","night, going_out, casual, at_desk","retro, luxury, modern","rx, custom","style:square, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:rx, lens:custom"
vintage-allure-1980s-lc-basics-sunglasses,"""Vintage Allure"" 1980s LC Basics Sunglasses",oval,acetate,,,"retro, luxury, modern",custom,"style:oval, material:acetate, vibe:retro, vibe:luxury, vibe:modern, lens:custom"
retro-allure-1980s-halston-sunglasses,"""Retro Allure"" 1980s Halston Sunglasses",oval,acetate,,,"retro, luxury, modern",custom,"style:oval, material:acetate, vibe:retro, vibe:luxury, vibe:modern, lens:custom"
vintage-allure-1980s-coyote-vision-sunglasses,"""Vintage Allure"" 1980s Coyote Vision Sunglasses",oval,acetate,,,"retro, luxury, modern",custom,"style:oval, material:acetate, vibe:retro, vibe:luxury, vibe:modern, lens:custom"
refined-utility-1980s-bugle-boy-sunglasses,"""Refined Utility"" 1980s Bugle Boy Sunglasses",aviator,wire,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, modern",custom,"style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:custom"
vintage-classic-1980s-britallia-springfield-sunglasses,"""Vintage Classic"" 1980s Britallia Springfield Sunglasses",oval,wire,,,"retro, luxury, modern",custom,"style:oval, material:wire, vibe:retro, vibe:luxury, vibe:modern, lens:custom"
bold-tortoise-1980s-big-and-bad-sunglasses,"""Bold Tortoise"" 1980s Big & Bad Sunglasses",rectangle,acetate,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","retro, luxury, modern","tinted, custom","style:rectangle, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:tinted, lens:custom"
vintage-utility-1980s-ao-safety-sunglasses,"""Vintage Utility"" 1980s AO Safety Sunglasses",aviator,wire,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, modern","tinted, custom","style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:tinted, lens:custom"
retro-aviator-1980s-accuflex-sunglasses,"""Retro Aviator"" 1980s Accuflex Sunglasses",aviator,wire,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, modern","tinted, custom","style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:tinted, lens:custom"
geometric-charm-1970s-lawrence-eyewear-sunglasses,"""Geometric Charm"" 1970s Lawrence Eyewear Sunglasses",square,acetate,"oval, round","night, going_out, casual, at_desk","retro, luxury, modern","polarized, custom, geometric","style:square, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:polarized, lens:custom, lens:geometric"
retro-elegance-1970s-jean-lempereur-eyeglasses,"""Retro Elegance"" 1970s Jean Lempereur Eyeglasses",,acetate,,,"retro, luxury, modern","rx, custom, butterfly","material:acetate, vibe:retro, vibe:luxury, vibe:modern, lens:rx, lens:custom, lens:butterfly"
bold-sophisticate-1970s-firenza-eyeglasses,"""Bold Sophisticate"" 1970s Firenza Glasses Frames",aviator,acetate,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, modern","rx, tinted","style:aviator, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:rx, lens:tinted"
bold-allure-1970s-anne-klein-eyeglass-frame,"""Editorial"" 1980s Anne Klein Eyeglass Frame",square,acetate,"oval, round","night, going_out, casual, at_desk","retro, luxury, modern","rx, tinted","style:square, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:rx, lens:tinted"
refined-aviator-1990s-halston-sunglasses,"""Refined Aviator"" 1990s Halston Sunglasses",aviator,acetate,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, modern","tinted, custom","style:aviator, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:tinted, lens:custom"
midnight-tortoise-1990s-yves-saint-laurent-eyeglasses,"""Midnight Tortoise"" 1990s Yves Saint Laurent Eyeglasses",,acetate,,,"retro, luxury, modern","blue_light, custom","material:acetate, vibe:retro, vibe:luxury, vibe:modern, lens:blue_light, lens:custom"
midnight-grace-1990s-nicole-miller-sunglasses,"""Midnight Grace"" 1990s Nicole Miller Sunglasses",oval,acetate,,,"retro, luxury, modern",shield,"style:oval, material:acetate, vibe:retro, vibe:luxury, vibe:modern, lens:shield"
whimsical-kiss-1990s-la-eyeworks-eyeglasses,"""Playtime"" 1990s LA Eyeworks Eyeglasses",cat_eye,wire,"heart, oval, round, square, diamond","day, going_out, casual","retro, luxury, modern","rx, tinted","style:cat_eye, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, lens:rx, lens:tinted"
retro-flair-1990s-la-eyeworks-eyeglasses,"""Retro Flair"" 1990s LA Eyeworks Eyeglasses",cat_eye,acetate,"heart, oval, round, square, diamond","day, going_out, casual","retro, luxury, modern","rx, custom","style:cat_eye, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, lens:rx, lens:custom"
refined-ovale-1990s-eyetel-sunglasses,"""Refined Ovale"" 1990s Eyetel Sunglasses",oval,acetate,,,"retro, luxury, modern","tinted, custom","style:oval, material:acetate, vibe:retro, vibe:luxury, vibe:modern, lens:tinted, lens:custom"
modern-ovale-2000s-exces-sunglasses,"""Modern Ovale"" 2000s Exces Sunglasses",oval,acetate,,,"retro, luxury, modern","tinted, custom","style:oval, material:acetate, vibe:retro, vibe:luxury, vibe:modern, lens:tinted, lens:custom"
modern-aviator-1990s-dita-sunglasses,"""Modern Aviator"" 1990s Dita Sunglasses",aviator,wire,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, modern",tinted,"style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:tinted"
precision-classic-1990s-seiko-eyeglasses,"""Precision Classic"" 1990s Seiko Eyeglasses",rectangle,wire,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","retro, luxury, modern","rx, custom","style:rectangle, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:rx, lens:custom"
vintage-tortoise-1970s-london-fog-eyeglass-frame-only,"""Vintage Tortoise"" 1970s London Fog Eyeglass Frame Only",,acetate,,,"retro, luxury, modern","rx, custom","material:acetate, vibe:retro, vibe:luxury, vibe:modern, lens:rx, lens:custom"
purple-renaissance-1970s-renaissance-eyeglasses,"""Purple Renaissance"" 1970s Renaissance Eyeglasses",,acetate,,,"retro, luxury, modern","rx, custom, butterfly","material:acetate, vibe:retro, vibe:luxury, vibe:modern, lens:rx, lens:custom, lens:butterfly"
geometric-allure-1960s-handmade-sunglasses,"""Geometric Allure"" 1960s Handmade Sunglasses",square,acetate,"oval, round","night, going_out, casual, at_desk","retro, luxury, modern","tinted, custom, geometric","style:square, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:tinted, lens:custom, lens:geometric"
black-metal-elegance-1950s-cateye-sunglasses,"""Citron"" 1950s Cateye Sunglasses",cat_eye,wire,"heart, oval, round, square, diamond","day, going_out, casual","retro, luxury, modern",tinted,"style:cat_eye, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, lens:tinted"
inuit-goggles-19th-early-20th-century,"Inuit Goggles, 19th-early 20th century",,,,,retro,shield,"vibe:retro, lens:shield"
classic-tortoise-1990s-carrera-sunglasses,"""Classic Tortoise"" 1990s Carrera Sunglasses",rectangle,acetate,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","retro, luxury, modern","tinted, custom","style:rectangle, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:tinted, lens:custom"
golden-era-1960s-gold-leaf-sunglasses,"""Golden Era"" 1960s Gold Leaf Sunglasses",,wire,,,"retro, luxury, modern",tinted,"material:wire, vibe:retro, vibe:luxury, vibe:modern, lens:tinted"
eternal-edge-2000s-tom-ford-sunglasses,"""Eternal Edge"" 2000s Tom Ford Sunglasses",round,acetate,"heart, square, diamond","night, casual, at_desk","retro, luxury, modern","tinted, butterfly","style:round, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:tinted, lens:butterfly"
vision-sport-1990s-sergio-tacchini-eyeglasses-frames,"""Vision Sport"" 1990s Sergio Tacchini Glasses Frames",rectangle,wire,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","retro, luxury, modern","rx, custom","style:rectangle, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:rx, lens:custom"
speed-form-1980s-bugatti-sunglasses,"""Speed Form"" 1980s Bugatti Sunglasses",aviator,wire,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, modern",tinted,"style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:tinted"
blue-streak-1990s-prince-action-eyewear-sunglasses,"""Blue Streak"" 1990s Prince Action Eyewear Sunglasses",rectangle,wire,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","retro, luxury, modern",tinted,"style:rectangle, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:tinted"
vision-in-sepia-2000s-ralph-lauren-sunglasses,"""Vision in Sepia"" 2000s Ralph Lauren Sunglasses",oval,acetate,,,"retro, luxury, modern",tinted,"style:oval, material:acetate, vibe:retro, vibe:luxury, vibe:modern, lens:tinted"
modern-muse-1990s-ellen-tracy-sunglasses,"""Modern Muse"" 1990s Ellen Tracy Refined Sunglasses",oval,wire,,,"retro, luxury, modern",tinted,"style:oval, material:wire, vibe:retro, vibe:luxury, vibe:modern, lens:tinted"
frontier-edge-1980s-stetson-sunglasses,"""Frontier Edge"" 1980s Stetson Sunglasses",aviator,wire,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, modern",tinted,"style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:tinted"
futurist-vision-1980s-luigi-colani-empty-frames,"""Futurist Vision"" 1980s Luigi Colani Empty Frames",aviator,wire,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, modern","rx, tinted, custom","style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:rx, lens:tinted, lens:custom"
pacific-blue-1990s-maui-jim-refined,"""Pacific Blue"" 1990s Maui Jim Refined",rectangle,,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","retro, luxury","polarized, shield","style:rectangle, vibe:retro, vibe:luxury, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:polarized, lens:shield"
golden-hour-1980s-handmade-refined-glasses,"""Golden Hour"" 1980s Handmade Refined Glasses",aviator,wire,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, modern","tinted, butterfly","style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:tinted, lens:butterfly"
orange-blossom-1990s-liz-claiborne-refined-glasses,“Orange Blossom” 1990s Liz Claiborne Refined Glasses,oval,wire,,,"retro, luxury, modern",tinted,"style:oval, material:wire, vibe:retro, vibe:luxury, vibe:modern, lens:tinted"
fiat-feature-1980s-luigi-colani-frame,"""Fiat Feature"" 1980s Luigi Colani Frame",,wire,,,"retro, luxury, trendy",,"material:wire, vibe:retro, vibe:luxury, vibe:trendy"
slice-of-life-2000s-alexander-mcqueen-sunglasses,"""Slice of Life"" 2000s Alexander McQueen Sunglasses",aviator,wire,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, modern","tinted, shield, butterfly","style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:tinted, lens:shield, lens:butterfly"
modernist-mood-1960s-handmade-sunglasses,"""Modernist Mood"" 1980s Handmade Sunglasses",square,acetate,"oval, round","night, going_out, casual, at_desk","retro, luxury, modern","tinted, butterfly, geometric","style:square, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:tinted, lens:butterfly, lens:geometric"
artful-edge-1960s-handmade-eyeglasses-frames,"""Artful Edge"" 1960s Handmade Eyeglasses Frames",,wire,,,"retro, luxury, modern","rx, custom","material:wire, vibe:retro, vibe:luxury, vibe:modern, lens:rx, lens:custom"
stealth-2000s-mugler,"""Stealth"" 2000s Mugler",aviator,wire,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, modern","tinted, shield","style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:tinted, lens:shield"
biometric-1980s-luigi-colani-frame,"""Biometric"" 1980s Luigi Colani Frame",,wire,,,"retro, luxury, modern",,"material:wire, vibe:retro, vibe:luxury, vibe:modern"
three-dots-2000s-seraphin-frames,"""Three Dots"" 2000s Seraphin Frames",rectangle,acetate,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","retro, luxury, modern",,"style:rectangle, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk"
butterfly-1980s-dior-sunglasses,"""Butterfly"" 1980s Dior Sunglasses",rectangle,wire,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","retro, luxury, modern","tinted, butterfly","style:rectangle, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:tinted, lens:butterfly"
venusion-1990s-mugler-sunglasses,"""Venusion"" 1990s Mugler Sunglasses",rectangle,,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","retro, luxury, modern","tinted, shield, butterfly","style:rectangle, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:tinted, lens:shield, lens:butterfly"
sharp-brows-1980s-metzler-sunglasses,"""Sharp Brows"" 1980s Metzler Sunglasses",aviator,wire,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, modern",tinted,"style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:tinted"
the-intellect-1980s-ysl-frame,"""The Intellect"" 1980s YSL Frame",aviator,wire,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, trendy","rx, tinted, butterfly, geometric","style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:trendy, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:rx, lens:tinted, lens:butterfly, lens:geometric"
orion-1990s-handmade-sunglasses,"""Orion"" 1990s Handmade Sunglasses",square,wire,"oval, round","night, going_out, casual, at_desk",retro,"tinted, geometric","style:square, material:wire, vibe:retro, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:tinted, lens:geometric"
enigma-1980s-emmanuelle-khanh,"""Enigma"" 1980s Emmanuelle Khanh",rectangle,wire,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","retro, luxury, trendy","polarized, tinted","style:rectangle, material:wire, vibe:retro, vibe:luxury, vibe:trendy, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:polarized, lens:tinted"
summer-popsicle-1980s-silhouette-refined-glasses,"""Summer Popsicle"" 1980s Silhouette Refined Glasses",aviator,,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, modern","tinted, butterfly","style:aviator, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:tinted, lens:butterfly"
sunset-1980s-irma-j-clip-on-sunglasses,"""Sunset"" 1980s Irma-J Clip On Sunglasses",aviator,wire,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury","tinted, shield","style:aviator, material:wire, vibe:retro, vibe:luxury, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:tinted, lens:shield"
stars-and-stripes-1990s-axel-s-sunglasses,"""Stars and Stripes"" 1990s Axel S Sunglasses",cat_eye,,"heart, oval, round, square, diamond","day, going_out, casual","retro, luxury, trendy","tinted, butterfly","style:cat_eye, vibe:retro, vibe:luxury, vibe:trendy, face_shape:heart, face_shape:oval, face_shape:round, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, lens:tinted, lens:butterfly"
quiet-authority-1990s-seraphin-eyeglass-frames,"""Quiet Authority"" 1990s  Seraphin Eyeglass Frames",rectangle,acetate,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","retro, luxury, modern","rx, tinted, custom","style:rectangle, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:rx, lens:tinted, lens:custom"
power-play-1980s-fendi-sunglasses,"""Power Play"" 1980s Fendi Sunglasses",wayfarer,acetate,"heart, oval, round, square","day, night, going_out, casual, at_desk","retro, luxury, modern",,"style:wayfarer, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:square, use_case:day, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk"
sharp-sophistication-1990s-karl-lagerfeld-sunglasses,"""Sharp Sophistication"" 1990s Karl Lagerfeld Sunglasses",oval,acetate,,,"retro, luxury, modern",,"style:oval, material:acetate, vibe:retro, vibe:luxury, vibe:modern"
decade-defining-1970s-dior-sunglasses,"""Decade Defining"" 1970s Dior Sunglasses",oval,acetate,,,"retro, luxury, trendy","tinted, butterfly","style:oval, material:acetate, vibe:retro, vibe:luxury, vibe:trendy, lens:tinted, lens:butterfly"
cinematic-drama-1990s-nouvelle-vague-sunglasses,"""Cinematic Drama"" 1990s Nouvelle Vague Sunglasses",cat_eye,acetate,"heart, oval, round, square, diamond","day, going_out, casual","retro, luxury, modern",,"style:cat_eye, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual"
subtle-statement-ted-baker-eyeglass-frame-only,"""Subtle Statement"" Ted Baker Eyeglass Frame",rectangle,acetate,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","luxury, modern, classic","rx, tinted, custom","style:rectangle, material:acetate, vibe:luxury, vibe:modern, vibe:classic, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:rx, lens:tinted, lens:custom"
tokyo-static-1990s-sunglasses,"""Tokyo Static"" 1990s X Japan Sunglasses",oval,wire,,,"retro, luxury, modern",,"style:oval, material:wire, vibe:retro, vibe:luxury, vibe:modern"
throughline-1980s-metzler-light-sunglasses,"""Throughline"" 1980s Metzler Light Sunglasses",square,acetate,"oval, round","night, going_out, casual, at_desk","retro, luxury, classic","tinted, butterfly","style:square, material:acetate, vibe:retro, vibe:luxury, vibe:classic, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:tinted, lens:butterfly"
the-ode-1980s-ysl-red-sunglasses,"""The Ode"" 1980s YSL Red Sunglasses",square,acetate,"oval, round","night, going_out, casual, at_desk","retro, luxury, classic","rx, butterfly","style:square, material:acetate, vibe:retro, vibe:luxury, vibe:classic, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:rx, lens:butterfly"
